Date,Open,High,Low,Close,Volume
2024-07-22,37600,37750,36200,36500,432917
2024-07-23,37000,37350,35700,35850,438609
2024-07-24,35450,36400,35350,36000,326995
2024-07-25,35950,35950,34900,35000,396526
2024-07-26,35300,36200,34850,35200,297995
2024-07-29,35400,35850,35200,35650,253265
2024-07-30,35300,35350,34400,34850,377869
2024-07-31,34750,36350,34500,36150,344084
2024-08-01,36800,36800,35600,36050,315474
2024-08-02,35000,35250,33950,34200,557796
2024-08-05,33000,33500,28750,29650,980377
2024-08-06,30500,32200,30400,31600,541973
2024-08-07,31300,32400,31100,32250,373674
2024-08-08,31200,31950,30950,31300,310940
2024-08-09,32650,33250,32200,32550,520637
2024-08-12,32600,33500,32500,32600,261611
2024-08-13,32800,32950,32200,32450,174072
2024-08-14,33450,33700,33050,33150,336282
2024-08-16,34100,34300,33500,33600,317264
2024-08-19,33700,33750,32950,33050,161240
2024-08-20,33550,34000,33350,33800,208573
2024-08-21,33400,33850,33200,33750,124612
2024-08-22,34000,34050,32900,33100,200640
2024-08-23,32600,32900,32250,32450,218384
2024-08-26,32700,32750,31600,31750,207995
2024-08-27,31750,31900,31350,31600,174186
2024-08-28,31500,31800,31100,31700,232317
2024-08-29,30500,30850,30200,30800,395399
2024-08-30,30900,31450,30750,31300,241018
2024-09-02,31200,31250,30250,30750,314855
2024-09-03,30750,30900,30050,30050,229945
2024-09-04,28800,29200,28250,28500,587352
2024-09-05,28650,29150,27900,28200,357124
2024-09-06,28050,28350,27250,27550,330760
2024-09-09,26850,28400,26700,28350,260143
2024-09-10,28350,28400,27250,27350,277363
2024-09-11,27450,27700,26800,27200,261843
2024-09-12,27950,28850,27850,28500,422631
2024-09-13,28200,28450,27750,28050,206253
2024-09-19,28200,28200,26200,27250,515524
2024-09-20,27800,27850,26800,27050,334908
2024-09-23,26800,27800,26700,27450,250915
2024-09-24,27650,28300,27400,28250,250259
2024-09-25,28750,29100,28150,28150,353586
2024-09-26,29200,29700,28900,29700,500785
2024-09-27,29750,30100,29200,29700,273570
2024-09-30,29650,29650,28900,29000,232093
2024-10-02,28450,30300,28250,29900,462565
2024-10-04,30200,30400,29550,29600,201628
2024-10-07,29800,29900,29250,29800,243765
2024-10-08,29350,29850,28800,28850,290948
2024-10-10,29100,29250,28500,28500,229262
2024-10-11,28550,29250,28550,28800,234537
2024-10-14,28950,29700,28800,29200,181897
2024-10-15,29650,29700,28500,28600,278580
2024-10-16,27700,27900,27050,27350,351893
2024-10-17,27600,27850,27100,27550,231464
2024-10-18,27550,27650,26500,26600,314663
2024-10-21,26500,27450,26250,27250,193041
2024-10-22,27250,27250,26250,26300,210317
2024-10-23,26300,27450,25800,27350,284983
2024-10-24,27250,27250,26550,26700,156944
2024-10-25,26950,27000,26400,26750,195518
2024-10-28,26750,27600,26500,27200,201881
2024-10-29,27200,27200,26300,27150,171472
2024-10-30,27250,27350,26500,26600,161923
2024-10-31,26200,27300,26050,27050,337935
2024-11-01,26600,26950,26550,26650,182518
2024-11-04,26650,27350,26450,27250,245106
2024-11-05,26950,27350,26850,26950,206409
2024-11-06,27250,30100,27100,29050,2449779
2024-11-07,29250,29250,27500,27600,692090
2024-11-08,27900,27950,26200,26250,628012
2024-11-11,26100,26300,24250,24500,681865
2024-11-12,24350,24600,23600,23850,459842
2024-11-13,23600,23900,23000,23100,452102
2024-11-14,23300,23600,22550,22550,537912
2024-11-15,22250,24100,22250,23800,455682
2024-11-18,24050,24500,23250,23500,375083
2024-11-19,23450,24350,23050,24150,298825
2024-11-20,24300,24800,24000,24400,278509
2024-11-21,24500,24750,24050,24150,193818
2024-11-22,24300,24800,24200,24550,190551
2024-11-25,24650,24950,24600,24850,264910
2024-11-26,24200,24250,23250,23700,644384
2024-11-27,23400,23400,22600,22800,368306
2024-11-28,22800,22950,22400,22550,193591
2024-11-29,22500,22550,21450,21850,453507
2024-12-02,22000,22050,21250,21350,331561
2024-12-03,21150,21950,21150,21800,280216
2024-12-04,21100,21800,21100,21700,227641
2024-12-05,21900,22200,21650,21900,258262
2024-12-06,22100,22100,21100,21550,328179
2024-12-09,20950,21150,20200,20400,333196
2024-12-10,20650,21550,20600,21450,264538
2024-12-11,21450,22050,21300,21900,276245
2024-12-12,22200,22400,21750,22150,506451
2024-12-13,22150,22350,21200,21600,725011
2024-12-16,21900,23250,21850,22350,517056
2024-12-17,22600,22600,21500,21700,581720
2024-12-18,21700,22350,21550,22350,306367
2024-12-19,21600,21800,21200,21400,365047
2024-12-20,21300,21650,20750,20900,283407
2024-12-23,21100,21650,20800,21550,252367
2024-12-24,21850,22100,21450,21800,256943
2024-12-26,22000,22000,20950,21050,267731
2024-12-27,20900,21350,20550,20700,272439
2024-12-30,20550,21050,20350,20900,130597
2025-01-02,20750,21100,20250,21000,151974
2025-01-03,20950,22600,20850,22200,649034
2025-01-06,22500,23350,22350,23050,706533
2025-01-07,23350,23450,22550,22600,496915
2025-01-08,22450,24250,22300,24150,890940
2025-01-09,24200,24200,23250,23250,635236
2025-01-10,23400,23600,22900,22900,329118
2025-01-13,22600,22800,22200,22200,276139
2025-01-14,22450,22550,21950,22500,191241
2025-01-15,22600,23150,22250,22450,255606
2025-01-16,22950,23200,22550,22600,323097
2025-01-17,22600,23000,22400,22950,340939
2025-01-20,23200,23200,22600,23050,318750
2025-01-21,23200,23550,22550,22950,449403
2025-01-22,23000,23600,22550,23500,540983
2025-01-23,23600,23650,22600,22600,443208
2025-01-24,22850,23350,22600,23150,364167
2025-01-31,22900,22900,21700,21900,665494
2025-02-03,21350,21350,20550,20750,472238
2025-02-04,21200,21900,21000,21400,312160
2025-02-05,21600,22050,21550,21650,300325
2025-02-06,21950,22200,21650,22100,252909
2025-02-07,22250,24750,21950,24100,1674074
2025-02-10,23700,25950,23600,25750,1671337
2025-02-11,26100,28250,25700,26400,2192218
2025-02-12,26200,27150,26000,26600,692846
2025-02-13,27200,27750,26400,26500,765039
2025-02-14,27100,28150,26450,27450,1006225
2025-02-17,28000,28000,26900,27100,555878
2025-02-18,27250,28450,26950,27450,665903
2025-02-19,28100,28850,27700,28150,1060512
2025-02-20,29150,31500,27950,27950,3223434
2025-02-21,28100,28850,27100,28350,711822
