Date,Open,High,Low,Close,Volume
2024-01-08,12325,12350,12120,12170,146796
2024-01-09,12105,12230,12085,12140,237339
2024-01-10,12165,12450,12165,12345,223135
2024-01-11,12300,12560,12285,12340,169750
2024-01-12,12285,12620,12275,12335,157169
2024-01-15,12395,12465,12200,12310,131519
2024-01-16,12310,12310,12110,12170,88833
2024-01-17,12195,12195,11785,11855,155634
2024-01-18,11890,12225,11890,12140,199017
2024-01-19,12275,12370,12090,12275,195445
2024-01-22,12340,12475,12250,12450,274531
2024-01-23,12505,12505,12260,12265,134273
2024-01-24,12310,12355,12105,12150,119069
2024-01-25,12150,12275,12045,12150,130758
2024-01-26,12170,12265,12080,12130,103156
2024-01-29,12160,12225,11810,11875,166891
2024-01-30,11830,11950,11670,11700,177517
2024-01-31,11700,11970,11695,11875,163529
2024-02-01,11845,12000,11775,11845,128786
2024-02-02,11845,12015,11840,11900,125084
2024-02-05,11960,11990,11750,11890,115659
2024-02-06,11865,11890,11695,11840,133438
2024-02-07,11915,12080,11915,12040,133556
2024-02-08,12040,12220,12040,12120,96656
2024-02-13,12290,12340,12205,12295,186623
2024-02-14,12230,12860,12115,12635,301671
2024-02-15,12770,12770,12415,12480,150087
2024-02-16,12565,12565,12350,12390,113228
2024-02-19,12420,12830,12420,12790,310228
2024-02-20,12870,13040,12675,12780,350702
2024-02-21,12875,12905,12650,12885,175034
2024-02-22,12920,13290,12910,13205,477011
2024-02-23,13320,13320,12865,13015,272297
2024-02-26,12990,13345,12990,13325,349742
2024-02-27,13325,13965,13325,13650,732035
2024-02-28,13650,14095,13650,14065,471888
2024-02-29,14065,14320,13790,13805,372737
2024-03-04,13980,13980,13610,13690,407841
2024-03-05,13540,13865,13540,13650,843030
2024-03-06,13610,14365,13610,14325,1070983
2024-03-07,14385,14635,14125,14330,760022
2024-03-08,14450,14580,14280,14485,702449
2024-03-11,14485,14720,14305,14345,747992
2024-03-12,14330,14420,13815,13930,1225320
2024-03-13,13960,14115,13715,13880,762883
2024-03-14,13970,14205,13960,14050,478782
2024-03-15,14110,14200,13870,13900,353600
2024-03-18,14020,14280,14020,14225,510282
2024-03-19,14320,14435,14145,14280,405133
2024-03-20,14360,14405,14200,14300,427470
2024-03-21,14310,14520,14240,14480,437772
2024-03-22,14535,15160,14530,14770,764743
2024-03-25,14940,15125,14660,14745,970800
2024-03-26,14855,15125,14825,15060,1293315
2024-03-27,15325,15325,14915,15230,1213220
2024-03-28,15220,15220,14785,14820,797815
2024-03-29,14760,15100,14760,14935,579753
2024-04-01,15025,15250,14900,15180,549394
2024-04-02,15305,15890,14870,15865,1634121
2024-04-03,15830,15830,15085,15440,1240401
2024-04-04,15450,15560,15145,15560,940371
2024-04-05,15545,15620,14865,14905,1068203
2024-04-08,14905,15175,14805,14940,1099212
2024-04-09,14940,15350,14810,15090,607600
2024-04-11,14900,15210,14845,15190,671127
2024-04-12,15290,15440,15130,15350,509316
2024-04-15,15480,15595,15070,15180,682983
2024-04-16,15180,15400,14845,14980,902115
2024-04-17,14980,15340,14865,15185,1187135
2024-04-18,15235,15770,15145,15695,1183164
2024-04-19,15750,16045,15525,15845,2389353
2024-04-22,16000,16010,15380,15555,959222
2024-04-23,15645,16235,15630,16210,1388410
2024-04-24,16225,16510,16090,16410,1319934
2024-04-25,16375,16550,16190,16320,831192
2024-04-26,16400,16485,16075,16155,689063
2024-04-29,16155,16290,16000,16260,1036260
2024-04-30,16150,16300,15510,15515,1350451
2024-05-02,15650,16130,15545,16020,1317758
2024-05-03,16195,16195,15755,15825,584856
2024-05-07,15810,15980,15550,15895,596001
2024-05-08,15900,15970,15700,15905,217389
2024-05-09,15905,15905,15720,15760,459410
2024-05-10,15840,16060,15735,15805,655048
2024-05-13,15870,16145,15795,16020,556176
2024-05-14,16145,16145,15895,15945,343080
2024-05-16,16050,16140,15870,15965,601009
2024-05-17,15955,15960,15465,15520,618048
2024-05-20,15440,15715,15345,15645,453901
2024-05-21,15625,15735,15480,15510,583122
2024-05-22,15510,15570,15130,15170,620140
2024-05-23,15120,15185,14865,15175,393216
2024-05-24,15040,15375,14930,15290,651736
2024-05-27,15440,15530,15255,15510,640429
2024-05-28,15645,16125,15510,16070,1140356
2024-05-29,16075,16120,15560,15650,675493
2024-05-30,15655,15760,15140,15145,937275
2024-05-31,15305,15350,14940,14970,548427
2024-06-03,15150,15935,15150,15490,1644324
2024-06-04,15395,15445,15060,15220,580665
2024-06-05,15205,15270,14930,14955,554302
2024-06-07,15105,15300,15095,15190,490471
2024-06-10,15090,15415,15030,15380,510261
2024-06-11,15480,15550,15205,15215,526195
2024-06-12,15190,15455,15120,15380,349616
2024-06-13,15410,15735,15410,15645,620053
2024-06-14,15645,15935,15525,15865,549843
2024-06-17,16100,16645,15860,16595,1406687
2024-06-18,16610,16640,16380,16470,596520
2024-06-19,16510,16960,16405,16920,1239973
2024-06-20,17000,17060,16570,16790,789863
2024-06-21,16950,17255,16330,16400,840624
2024-06-24,16505,16830,16485,16560,653808
2024-06-25,16630,16735,16400,16440,462662
2024-06-26,16430,16430,15950,16085,678022
2024-06-27,16050,16150,15910,16130,538758
2024-06-28,16190,16710,16010,16705,754010
2024-07-01,16705,16890,16540,16610,451260
2024-07-02,16610,16610,15845,15940,1060765
2024-07-03,15990,16000,15750,15830,578573
2024-07-04,15760,16100,15760,16040,576740
2024-07-05,16095,16135,15950,16075,330553
2024-07-08,16075,16455,16075,16385,624376
2024-07-09,16480,16600,16295,16580,477164
2024-07-10,16665,17045,16580,16580,1040020
2024-07-11,16680,16790,16455,16535,454767
2024-07-12,16535,16650,16300,16400,546434
2024-07-15,16740,17355,16695,17110,1701634
2024-07-16,17250,17530,17170,17305,1190178
2024-07-17,17405,17800,17345,17390,1090693
2024-07-18,17305,17665,16955,17050,810154
2024-07-19,16930,17185,16730,17120,841609
2024-07-22,17235,17460,16845,17025,673491
2024-07-23,16965,17645,16885,17535,990142
2024-07-24,17525,18060,17390,17955,1276572
2024-07-25,17905,17940,17210,17280,845205
2024-07-26,17325,17860,17295,17820,1137439
2024-07-29,17980,18455,17690,18455,1271357
2024-07-30,18520,18690,18140,18380,1156850
2024-07-31,18180,18615,17570,17795,1334491
2024-08-01,17750,18445,17675,18320,855135
2024-08-02,18025,18300,17465,17575,1128172
2024-08-05,17200,17295,15190,16110,1563330
2024-08-06,16540,16880,16145,16435,2301181
2024-08-07,16460,17290,16340,17070,1264598
2024-08-08,16930,17505,16655,17460,1701732
